54.240.61.23	54.240.60.0/22	AMAZON-02, US	a61-23.smtp-out.us-west-2.amazonses.com.
54.240.61.24	54.240.60.0/22	AMAZON-02, US	a61-24.smtp-out.us-west-2.amazonses.com.
54.240.61.26	54.240.60.0/22	AMAZON-02, US	a61-26.smtp-out.us-west-2.amazonses.com.
54.240.61.27	54.240.60.0/22	AMAZON-02, US	a61-27.smtp-out.us-west-2.amazonses.com.
54.240.61.28	54.240.60.0/22	AMAZON-02, US	a61-28.smtp-out.us-west-2.amazonses.com.
54.240.61.29	54.240.60.0/22	AMAZON-02, US	a61-29.smtp-out.us-west-2.amazonses.com.
54.240.61.30	54.240.60.0/22	AMAZON-02, US	a61-30.smtp-out.us-west-2.amazonses.com.
54.240.61.25	54.240.60.0/22	AMAZON-02, US	a61-25.smtp-out.us-west-2.amazonses.com.
52.34.255.224	52.32.0.0/14	AMAZON-02, US	ec2-52-34-255-224.us-west-2.compute.amazonaws.com.
52.34.255.226	52.32.0.0/14	AMAZON-02, US	ec2-52-34-255-226.us-west-2.compute.amazonaws.com.
52.34.255.225	52.32.0.0/14	AMAZON-02, US	ec2-52-34-255-225.us-west-2.compute.amazonaws.com.
52.213.75.190	52.208.0.0/13	AMAZON-02, US	ec2-52-213-75-190.eu-west-1.compute.amazonaws.com.
167.89.76.151	167.89.64.0/19	SENDGRID, US	o1678976x151.outbound-mail.sendgrid.net.
198.21.5.193	198.21.0.0/21	SENDGRID, US	o198215193.outbound-mail.sendgrid.net.
167.89.69.224	167.89.64.0/19	SENDGRID, US	o1.ptr6182.anaqua.com.
40.67.187.104	40.64.0.0/10	MICROSOFT-CORP-MSN-AS-BLOCK, US	104.187.67.40.in-addr.arpa
40.246.254.228	40.246.254.0/24	LILLY-AS, US	maillldcprde1.xh1.lilly.com.
72.3.211.90	72.3.128.0/17	RMH-14, US	90.211.3.72.in-addr.arpa
40.67.187.104	40.64.0.0/10	MICROSOFT-CORP-MSN-AS-BLOCK, US	104.187.67.40.in-addr.arpa
